case_id,topic,intent,question,expected_view,required_sql_terms,difficulty,notes
TALENT_COV_038,talent,distribution,各部门AI高等级人才数量是多少？,vw_talent_ai_query,dept_name|GROUP BY,easy,generated coverage seed
TALENT_COV_039,talent,ratio,AI高等级人才占比是多少？,vw_talent_ai_query,ratio,medium,generated coverage seed
TALENT_COV_040,talent,detail,列出AI高等级人才名单,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_041,talent,count,继任候选人有多少人？,vw_talent_ai_query,COUNT,easy,generated coverage seed
TALENT_COV_042,talent,distribution,各部门继任候选人数量是多少？,vw_talent_ai_query,dept_name|GROUP BY,easy,generated coverage seed
TALENT_COV_043,talent,ratio,继任候选人占比是多少？,vw_talent_ai_query,ratio,medium,generated coverage seed
TALENT_COV_044,talent,detail,列出继任候选人名单,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_045,talent,detail,研发部核心人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_046,talent,count,研发部核心人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_047,talent,detail,研发部高风险人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_048,talent,count,研发部高风险人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_049,talent,detail,研发部AI高等级人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_050,talent,count,研发部AI高等级人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_051,talent,detail,研发部继任候选人有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_052,talent,count,研发部继任候选人有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_053,talent,detail,销售部核心人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_054,talent,count,销售部核心人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_055,talent,detail,销售部高风险人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_056,talent,count,销售部高风险人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_057,talent,detail,销售部AI高等级人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_058,talent,count,销售部AI高等级人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_059,talent,detail,销售部继任候选人有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_060,talent,count,销售部继任候选人有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_061,talent,detail,市场部核心人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_062,talent,count,市场部核心人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_063,talent,detail,市场部高风险人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_064,talent,count,市场部高风险人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_065,talent,detail,市场部AI高等级人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_066,talent,count,市场部AI高等级人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_067,talent,detail,市场部继任候选人有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_068,talent,count,市场部继任候选人有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_069,talent,detail,产品部核心人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_070,talent,count,产品部核心人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_071,talent,detail,产品部高风险人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_072,talent,count,产品部高风险人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_073,talent,detail,产品部AI高等级人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_074,talent,count,产品部AI高等级人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_075,talent,detail,产品部继任候选人有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_076,talent,count,产品部继任候选人有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_077,talent,detail,人力资源部核心人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_078,talent,count,人力资源部核心人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_079,talent,detail,人力资源部高风险人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_080,talent,count,人力资源部高风险人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_081,talent,detail,人力资源部AI高等级人才有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_082,talent,count,人力资源部AI高等级人才有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_083,talent,detail,人力资源部继任候选人有哪些？,vw_talent_ai_query,LIMIT,medium,generated coverage seed
TALENT_COV_084,talent,count,人力资源部继任候选人有多少人？,vw_talent_ai_query,COUNT,medium,generated coverage seed
TALENT_COV_085,talent,distribution,按部门统计人才分布,vw_talent_ai_query,GROUP BY,medium,generated coverage seed
TALENT_COV_086,talent,ranking,部门人才数量排名前10是什么？,vw_talent_ai_query,ORDER BY|LIMIT,medium,generated coverage seed
TALENT_COV_087,talent,distribution,按公司统计人才分布,vw_talent_ai_query,GROUP BY,medium,generated coverage seed
TALENT_COV_088,talent,ranking,公司人才数量排名前10是什么？,vw_talent_ai_query,ORDER BY|LIMIT,medium,generated coverage seed
TALENT_COV_089,talent,distribution,按岗位统计人才分布,vw_talent_ai_query,GROUP BY,medium,generated coverage seed
TALENT_COV_090,talent,ranking,岗位人才数量排名前10是什么？,vw_talent_ai_query,ORDER BY|LIMIT,medium,generated coverage seed
TALENT_COV_091,talent,distribution,按Q值统计人才分布,vw_talent_ai_query,GROUP BY,medium,generated coverage seed
TALENT_COV_092,talent,ranking,Q值人才数量排名前10是什么？,vw_talent_ai_query,ORDER BY|LIMIT,medium,generated coverage seed
TALENT_COV_093,talent,distribution,按AI等级统计人才分布,vw_talent_ai_query,GROUP BY,medium,generated coverage seed
TALENT_COV_094,talent,ranking,AI等级人才数量排名前10是什么？,vw_talent_ai_query,ORDER BY|LIMIT,medium,generated coverage seed
TALENT_COV_095,talent,education,本科学历人才名单,vw_talent_education_ai_query,degree,easy,generated coverage seed
TALENT_COV_096,talent,education,各部门本科学历人才数量,vw_talent_education_ai_query,degree|dept_name,medium,generated coverage seed
TALENT_COV_097,talent,education,硕士学历人才名单,vw_talent_education_ai_query,degree,easy,generated coverage seed
TALENT_COV_098,talent,education,各部门硕士学历人才数量,vw_talent_education_ai_query,degree|dept_name,medium,generated coverage seed
TALENT_COV_099,talent,education,博士学历人才名单,vw_talent_education_ai_query,degree,easy,generated coverage seed
TALENT_COV_100,talent,education,各部门博士学历人才数量,vw_talent_education_ai_query,degree|dept_name,medium,generated coverage seed
TALENT_COV_101,talent,project,做过AI项目的人才有哪些？,vw_talent_project_ai_query,project_name,medium,generated coverage seed
TALENT_COV_102,talent,tag,有AI标签的人才有哪些？,vw_talent_tag_ai_query,tag_name,medium,generated coverage seed
TALENT_COV_103,talent,project,做过数字化项目的人才有哪些？,vw_talent_project_ai_query,project_name,medium,generated coverage seed
TALENT_COV_104,talent,tag,有数字化标签的人才有哪些？,vw_talent_tag_ai_query,tag_name,medium,generated coverage seed
TALENT_COV_105,talent,project,做过管理项目的人才有哪些？,vw_talent_project_ai_query,project_name,medium,generated coverage seed
TALENT_COV_106,talent,tag,有管理标签的人才有哪些？,vw_talent_tag_ai_query,tag_name,medium,generated coverage seed
TALENT_COV_107,talent,project,做过数据项目的人才有哪些？,vw_talent_project_ai_query,project_name,medium,generated coverage seed
TALENT_COV_108,talent,tag,有数据标签的人才有哪些？,vw_talent_tag_ai_query,tag_name,medium,generated coverage seed
TALENT_COV_109,talent,project,做过产品项目的人才有哪些？,vw_talent_project_ai_query,project_name,medium,generated coverage seed
TALENT_COV_110,talent,tag,有产品标签的人才有哪些？,vw_talent_tag_ai_query,tag_name,medium,generated coverage seed
TALENT_COV_111,talent,review,今年绩效分布是什么？,vw_talent_review_ai_query,review_year|performance_level,medium,generated coverage seed
TALENT_COV_112,talent,review,今年AI等级变化怎么看？,vw_talent_review_ai_query,review_year|ai_level,medium,generated coverage seed
TALENT_COV_113,talent,review,去年绩效分布是什么？,vw_talent_review_ai_query,review_year|performance_level,medium,generated coverage seed
TALENT_COV_114,talent,review,去年AI等级变化怎么看？,vw_talent_review_ai_query,review_year|ai_level,medium,generated coverage seed
TALENT_COV_115,talent,review,近三年绩效分布是什么？,vw_talent_review_ai_query,review_year|performance_level,medium,generated coverage seed
TALENT_COV_116,talent,review,近三年AI等级变化怎么看？,vw_talent_review_ai_query,review_year|ai_level,medium,generated coverage seed
TALENT_COV_117,talent,review,历年绩效分布是什么？,vw_talent_review_ai_query,review_year|performance_level,medium,generated coverage seed
TALENT_COV_118,talent,review,历年AI等级变化怎么看？,vw_talent_review_ai_query,review_year|ai_level,medium,generated coverage seed
TALENT_COV_119,talent,succession,立即可用继任计划候选人有哪些？,vw_succession_ai_query,readiness_level|risk_level,medium,generated coverage seed
TALENT_COV_120,talent,succession,一年内可用继任计划候选人有哪些？,vw_succession_ai_query,readiness_level|risk_level,medium,generated coverage seed
TALENT_COV_121,talent,succession,两年内可用继任计划候选人有哪些？,vw_succession_ai_query,readiness_level|risk_level,medium,generated coverage seed
TALENT_COV_122,talent,succession,高风险继任计划候选人有哪些？,vw_succession_ai_query,readiness_level|risk_level,medium,generated coverage seed
TALENT_COV_123,talent,org,各部门岗位编制情况,vw_org_position_ai_query,dept_name,medium,generated coverage seed
TALENT_COV_124,talent,org,各部门管理岗位情况,vw_org_position_ai_query,dept_name,medium,generated coverage seed
TALENT_COV_125,talent,org,各部门空缺岗位情况,vw_org_position_ai_query,dept_name,medium,generated coverage seed
TALENT_COV_126,talent,org,各部门组织结构情况,vw_org_position_ai_query,dept_name,medium,generated coverage seed
